id,reply,human_acceptable,judge_score,judge_accept
0,@300809 We're glad to have you with us! *TMT,True,5,True
1,"@258144 Hi, we would be happy to help with that! Please DM her full name, date of birth and zip code.  *TJW https://t.co/6iDGBJAc2m",False,4,True
2,@245038 Such a nice picture! 😍 *AJY,True,4,True
3,"@188025 Hello, Mark. So glad to hear that. Thank you for choosing us.  *AFM",True,3,False
4,"@182297 Hey Dennis, so sorry to hear this. Please DM your conf # so we can review your trip details. Thanks.  *TLT https://t.co/6iDGBJAc2m",False,4,True
5,"@220307 Hi, Matt. We are truly sorry that you had these issues. Unfortunately, there are no available First Class Upgrades at this time.  *ALA",True,3,False
6,@201563 Thank you so much for reaching out to us and making your voice heard. We appreciate your feedback. *AMC,True,3,False
7,@344255 Hi Rachel. You definitely could change it. There is a change fee and any difference in Sky Miles that would be charged. *TMS,True,3,False
8,@329025 I am sorry to hear that. Pls follow/DM your confirmation or ticket number. *AFM https://t.co/6iDGBJAc2m,False,4,True
9,@212944 ...LGA experienced an Air Traffic Control issue.  *HAA 2/2,True,3,False
10,@332900 @824 ...item to you.  *HSD 3/3,True,3,False
11,@335390 Sorry to hear about your delay. Please DM your confirmation number so I may assist. *TAC,True,3,False
12,"@238055 Bill, how can I assist you? *ACJ",True,3,False
13,"@177071 Hi, Justin. I am sorry about the hold time. May I assist you via Twitter? *TJF",True,3,False
14,"@158704 Phew, thanks for your understanding!  *AST",True,4,True
15,@222615 My info shows the bag has been delivered on DL 5418 which arrived at 7:05 pm.  *TMT,True,3,False
16,"@119380 So glad that we could be there for you, Mark! Happy travels! ✈✈ *HJB",True,3,False
17,@127978 ...your patience.  *HRO 2/2,True,5,True
18,@202010 Hello Jeff. You may click here for privacy.  *HTP https://t.co/6iDGBJAc2m,False,4,True
19,@137976 You're welcome Michael. *ALS,True,4,True
20,"@244028 Hi.  Sorry for the delayed baggage.  Please DM your confirmation code, so I may be of assistance.  Thanks. *TMA",True,3,False
21,"@142735 Hi, Jacob. I apologize your experience was anything but exceptional. We truly appreciate your loyalty and hope to better serve you in the future.  *TCH",True,3,False
22,@176661 You are very welcome and please thank him for his service and dedication.  *HRO,True,3,False
23,@156967 Oh no! I'm sorry about that Ian. I'll make sure to pass this information along so someone can look into this.  *TCH,True,3,False
24,"@279467 Good evening, Brianna! How may we assist you via this channel? *ABN",True,4,True
25,@253565 Wow! That is wonderful.  *TAS,True,4,True
26,@213406 Please allow 30-45 days for our Customer Care Department to review your file and respond. *AMS,True,3,False
27,"@351889 Note sure, please follow and DM your confirmation number.  *AST https://t.co/6iDGBJAc2m",False,3,False
28,@308550 Way-to-go Brandon! *ALS,True,3,False
29,@212715 Got it.  *AST,True,4,True
