text,response,intent,tweet_id
"I'm at @Delta Air Lines Ticket Counter in Las Vegas, NV https://t.co/xOjj1sDGAx","@285511 Hi, Steven. How may I assist? *TJH",booking,789781
@Delta trying to help my mother in law get logged into her Skymiles account,"@277961 Hi, Alan, how can I help? *TSB",loyalty,662969
@Delta Palm Beach with family.,@295962 Enjoy the family time. 😃 *TMB,generic,207043
@Delta Thanks! Do I call for that or can I apply it myself somehow?,@169565 ...if it's not available I will waitlist you.  *HSD 2/2,generic,224166
One day waiting for an answer from @Delta 🤦‍♂️,@124928 One moment while I look into this further.  *HML,generic,40667
@Delta @175608 Can i get a response on flight 2279 from jfk. What terminal?,"@175609 This flight will be departing from Terminal 2, gate C64 today. *HWG",generic,250789
@Delta how about we get that icon to be circle like every other app in the world https://t.co/tJoFcNAOvY,@195729 We're just making the Delta difference. 😉 *TCH,generic,334569
"@Delta booked with Skymiles. Trying to leave early for an emergency has been impossible. There are seats, it's the same day, WHAT THE HELL??","@205079 Hello, Kent. How may I help? What seems impossible? *TAC",booking,375619
@Delta DL154 Delayed twice already today without any reason ..grt job,@272953 This flight is due to arrive in DTW at 7:26 pm.   *HML,delay_disruption,644377
Didn’t realize I could tweet while in flight on @delta Thanks! #deltaairlines,@239405 Thank you! 😉 *AST,generic,517793
"@Delta I lost my wallet on flight 1639 from SAN-ATL on 11/22. My name is Lila Weiss. My ID is in it so you can verify it is mine. All my cards in it, etc. Please help me find this! Thank you.","@145422 I'm so sorry to hear about your lost item. Could you please, follow/DM your confirmation number? *AMV",baggage,130430
"My last flight in May with @Delta was delayed 4 times. They gave me a credit for the inconvenience. I used that credit on my current flight... and it’s already been delayed twice. 

😑😑😑 

clearly @Delta doesn’t value their customers time.","@278771 That should not have happened. It's bad once, and so I understand that the second set of delays is compounded. This is never the Delta brand we strive for, Chirs, and I regret the disappointment caused. Let us know if you need assistance, and we'll be right here for you. *ADB",cancellation_refund,666403
"So weird on @Delta NOT being able to get a seat assignment 24 hrs early, or even print one at the airport. #CustomerServiceFail",@202011 Please let us know if there is any way we could assist via Twitter. *AFC,delay_disruption,363050
@delta It totally sucks to hold 30 minutes to speak to reservation.  How bout employing Americans instead of just the www,"@328087 Hello. Apologies for the hold. If you need any help, let us know.  *ARD",booking,876483
@Delta Completely understand. It’s not a problem. Still ❤️@delta,@213181 Thanks so much for the understanding. We appreciate your loyalty and support. We hope to get you on your way shortly.😊 *HKC,generic,943660
"So @Delta, some reason a woman claiming to be an FA out of the Orlando crew base falsely accused me of stealing her phone?",@292890 I am sorry to hear that. This occurred during a flight and the flight attendant was on duty?  *HVI,generic,722180
@Delta accommodate....also disappointing that you allow connections to be so tight...,@122500 ...us know. *TJM 2/2,generic,29592
"@Delta Ok - sent by DM, thanks.",@341700 Thank you. I will forward to the Baggage team for an update.  *HKS,generic,934600
@Delta please DM ME #diamondmedallion,@233358 Hi Father Jim. DMing now. How can we help? *HKM,loyalty,496189
